com_id,com_nam,lin_ima,spo_nam,aff_com_nam,tot_rec,tot_dis,cas_on_han,cov_end_dat
C00385377,ROAD TO VICTORY POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00385377,"DUNCAN, JOHN J REP. JR.",DUNCAN,$337.00,"$10,758.00","$302,319.49",2013-10-31
C00436410,ROCK CITY PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00436410,"CORKER, SENATOR",,"$97,251.50","$127,497.60","$95,487.64",2013-06-30
C00546010,ROCKET PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00546010,,RUSH HOLT,"$10,000.00",,"$10,000.00",2013-06-30
C00545970,ROLE MODEL LEADERSHIP PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00545970,"WILSON, FREDERICA S",WILSON,,,,2013-06-30
C00497578,ROLL ON COLUMBIA POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00497578,,,"$2,500.00","$3,084.70","$16,944.21",2013-06-30
C00165548,SAC PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00165548,"MATSUI, DORIS",MATSUI,"$21,000.00","$21,026.00","$21,439.87",2013-10-31
C00534032,SAFEGUARDING AMERICAN LIBERTIES MORALS & OPPORTUNITIES NOW (SALMON) PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00534032,,MATT SALMON,"$9,500.00","$4,253.60","$5,246.00",2013-06-30
C00431635,SAN DIEGO PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00431635,,BOB FILNER,$510.00,"$1,023.20",,2013-06-30
C00461723,SAVE AMERICA PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00461723,,JAMES E RISCH,"$5,500.00","$10,350.00","$20,167.62",2013-09-30
C00461996,SAWTOOTH POLITICAL ACTION COMMITTEE (SAWTOOTH PAC),http://docquery.fec.gov/cgi-bin/fecimg/?C00461996,,MICHAEL K SIMPSON,"$46,500.00","$23,663.10","$27,840.33",2013-06-30
C00486720,SEA CHANGE LEADERSHIP PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00486720,,KAREN BASS,"$5,000.00","$2,052.00","$21,024.13",2013-06-30
C00327395,SEARCHLIGHT LEADERSHIP FUND,http://docquery.fec.gov/cgi-bin/fecimg/?C00327395,"REID, HARRY",REID,"$645,515.40","$558,989.60","$266,058.46",2013-11-05
